ID,AGE_IN_YEARS,LEVEL_OF_EDUCATION,YEARS_WITH_CURRENT_EMPLOYER,YEARS_AT_CURRENT_ADDRESS
1,41,High school degree,8,21
2,41,Some college,18,6
3,41,Some college,7,6
4,41,High school degree,2,22
5,33,Did not complete high school,14,8
6,33,Did not complete high school,2,14
7,49,Did not complete high school,11,5
8,25,College degree,0,6
9,41,Did not complete high school,21,2
10,25,Did not complete high school,3,2
11,25,Did not complete high school,5,5
12,25,High school degree,6,2
13,33,High school degree,10,13
14,33,Did not complete high school,13,13
15,41,Some college,13,13
16,25,Did not complete high school,3,2
17,25,Did not complete high school,0,2
18,41,High school degree,6,0
19,25,Did not complete high school,9,2
20,49,High school degree,11,1
21,41,Did not complete high school,7,22
22,49,High school degree,2,13
23,41,Some college,12,11
24,41,Some college,17,12
25,41,Did not complete high school,15,14
26,41,High school degree,5,5
27,25,Did not complete high school,4,0
28,41,Some college,0,21
29,25,College degree,0,2
30,33,High school degree,12,8
31,25,Did not complete high school,8,4
32,25,Did not complete high school,8,1
33,33,High school degree,4,9
34,41,Did not complete high school,13,10
35,33,Did not complete high school,14,2
36,25,Did not complete high school,1,6
37,41,Some college,2,0
38,41,Did not complete high school,14,8
39,33,Did not complete high school,8,7
40,41,High school degree,22,17
41,25,High school degree,4,6
42,25,Did not complete high school,1,0
43,41,Did not complete high school,7,11
44,41,High school degree,19,2
45,33,Did not complete high school,5,10
46,41,Some college,16,22
47,41,Did not complete high school,16,17
48,33,Did not complete high school,12,11
49,33,Did not complete high school,9,4
50,41,College degree,14,3
51,33,Did not complete high school,6,14
52,33,High school degree,2,14
53,33,High school degree,13,2
54,33,College degree,9,10
55,33,Did not complete high school,7,6
56,41,High school degree,21,22
57,33,Did not complete high school,13,3
58,41,Did not complete high school,19,1
59,33,Did not complete high school,7,0
60,33,College degree,9,8
61,25,High school degree,4,5
62,25,Did not complete high school,9,4
63,41,Did not complete high school,4,19
64,41,Did not complete high school,16,22
65,33,High school degree,10,4
66,41,Did not complete high school,23,2
67,49,High school degree,22,4
68,33,High school degree,2,9
69,25,College degree,0,1
70,25,College degree,1,1
71,33,Did not complete high school,2,10
72,41,Did not complete high school,24,12
73,41,College degree,9,13
74,41,High school degree,4,14
75,41,High school degree,7,17
76,25,Did not complete high school,1,1
77,25,Did not complete high school,6,6
78,41,Did not complete high school,24,15
79,41,High school degree,6,1
80,41,Did not complete high school,1,16
81,33,Did not complete high school,0,12
82,33,Did not complete high school,12,12
83,33,Did not complete high school,15,3
84,25,High school degree,1,3
85,46,Did not complete high school,6,19
86,30,High school degree,4,8
87,30,Did not complete high school,0,8
88,22,Did not complete high school,1,3
89,38,Did not complete high school,10,8
90,46,Some college,22,4
91,46,Post-undergraduate degree,15,0
92,38,High school degree,4,13
93,30,Some college,0,8
94,30,High school degree,8,4
95,46,Did not complete high school,1,15
96,30,Some college,8,7
97,46,Some college,3,13
98,30,Did not complete high school,0,11
99,22,Did not complete high school,4,3
100,30,Did not complete high school,10,2
101,22,Did not complete high school,1,0
102,38,High school degree,13,0
103,38,Did not complete high school,21,16
104,38,Some college,12,14
105,30,High school degree,12,9
106,22,Some college,0,1
107,38,Did not complete high school,3,19
108,22,Did not complete high school,4,3
109,22,Some college,1,3
110,30,High school degree,12,9
111,38,Some college,13,18
112,22,High school degree,0,1
113,30,Did not complete high school,1,10
114,30,High school degree,10,4
115,46,Did not complete high school,1,12
116,46,Did not complete high school,16,18
117,38,Some college,3,18
118,38,Did not complete high school,5,5
119,38,Some college,4,6
120,38,Did not complete high school,6,0
121,30,College degree,2,8
122,30,Did not complete high school,11,1
123,54,Did not complete high school,9,2
124,22,Did not complete high school,4,2
125,30,Did not complete high school,1,8
126,30,Did not complete high school,4,0
127,46,Did not complete high school,14,25
128,22,High school degree,0,3
129,46,Some college,9,10
130,38,High school degree,8,16
131,30,Did not complete high school,11,9
132,30,High school degree,4,4
133,30,Did not complete high school,10,11
134,54,Some college,21,20
135,46,High school degree,22,17
136,38,Did not complete high school,5,13
137,38,Did not complete high school,18,19
138,22,Did not complete high school,4,1
139,30,Did not complete high school,0,11
140,38,High school degree,2,16
141,38,Did not complete high school,0,8
142,54,Did not complete high school,25,12
143,30,Did not complete high school,8,6
144,38,Some college,15,18
145,38,Some college,12,18
146,46,High school degree,9,26
147,54,Did not complete high school,18,34
148,38,Did not complete high school,6,17
149,22,Some college,0,0
150,30,College degree,7,10
151,46,Some college,4,17
152,38,High school degree,7,4
153,46,Did not complete high school,9,23
154,38,Did not complete high school,18,7
155,38,Did not complete high school,4,9
156,30,Did not complete high school,12,10
157,38,Did not complete high school,11,13
158,30,Did not complete high school,7,2
159,30,Did not complete high school,4,2
160,22,Some college,0,2
161,46,Did not complete high school,7,6
162,38,Did not complete high school,5,4
163,30,Did not complete high school,1,1
164,46,Did not complete high school,9,6
165,46,High school degree,18,18
166,30,Did not complete high school,0,2
167,30,Did not complete high school,4,2
168,22,College degree,0,1
169,30,Did not complete high school,8,11
170,33,Did not complete high school,16,12
171,49,High school degree,14,26
172,33,College degree,4,12
173,25,Some college,3,2
174,33,Did not complete high school,11,6
175,33,High school degree,5,2
176,25,High school degree,5,5
177,41,High school degree,6,7
178,25,High school degree,5,3
179,33,High school degree,10,2
180,25,Did not complete high school,3,5
181,33,High school degree,8,13
182,41,High school degree,13,1
183,38,College degree,13,2
184,30,High school degree,2,2
185,38,High school degree,12,14
186,38,Did not complete high school,1,9
187,30,Did not complete high school,12,4
188,38,Did not complete high school,21,17
189,38,High school degree,0,18
190,22,High school degree,0,0
191,38,Did not complete high school,16,8
192,46,Did not complete high school,6,19
193,46,College degree,7,16
194,28,College degree,0,5
195,36,High school degree,7,16
196,28,Some college,6,8
197,28,Did not complete high school,4,2
198,44,High school degree,18,4
199,36,Post-undergraduate degree,5,12
200,36,Did not complete high school,18,9
201,28,Did not complete high school,12,7
202,52,Post-undergraduate degree,9,0
203,28,High school degree,5,2
204,36,Did not complete high school,14,17
205,36,College degree,8,0
206,20,Some college,0,1
207,28,High school degree,6,9
208,28,Did not complete high school,4,1
